dérivé,base,procédé,allomorphie?,pred=att?,m=f
rotondité,rotond-ité,ité,,,
rugosité,rugueux-ité,ité,,,
rusticité,rustique,ité,ique~ic,1,1
réactivité,re-act-ion-if-ité,ité,0,1,0
réalité,réel,ité,el~al,1,-1
réceptivité,récept-ion-if-ité,ité,0,1,0
réciprocité,réciproque-ité,ité,,,
régularité,régul-ier-ité,ité,,,
réversibilité,réversible-ité,ité,,,
sagacité,sagace-ité,ité,,,
salacité,salace-ité,ité,,,
salinité,salin-ité,ité,0,1,0
salubrité,salubre-ité,ité,,,
sapidité,sape-ide-ité,ité,,,
scientificité,scientifique,ité,ique~ic,1,1
scissiparité,scissipare-ité,ité,,,
scolarité,scolaire,ité,aire~ar,1,1
scrupulosité,scrupule-eux-ité,ité,,,
sensibilité,sensible-ité,ité,,,
sensorialité,sensoriel,ité,el~al,1,-1
sensualité,sensuel,ité,el~al,1,-1
sentimentalité,sentir-ment-al-ité,ité,,,
septicité,septic-ité,ité,,,
serviabilité,serviable,ité,able~abil,1,1
servilité,servile-ité,ité,,,
similarité,similaire,ité,aire~ar,1,1
simplicité,simplic-ité,ité,,,
simultanéité,simultané-ité,ité,,,
sincérité,sincère-ité,ité,,,
singularité,singulier-ité,ité,,,
sinuosité,sinueux-ité,ité,,,
sociabilité,sociable,ité,able~abil,1,1
solidarité,solidaire,ité,aire~ar,1,1
solidité,solide-ité,ité,,,
solubilité,soluble-ité,ité,,,
solvabilité,solvable,ité,able~abil,1,1
sommité,somme-ité,ité,,,
somptuosité,somptueux-ité,ité,,,
sonorité,sonore-ité,ité,,,
sordidité,sordide-ité,ité,,,
sororité,sore-eur-ité,ité,,,
sous-humanité,sous-humain-ité,pfx,,,
sphéricité,sphérique,ité,ique~ic,1,1
spiritualité,spirituel,ité,el~al,1,-1
spontanéité,spontané-ité,ité,,,
sportivité,sport-if-ité,ité,0,1,0
spumosité,spume-eux-ité,ité,,,
spécialité,spécial-ité,ité,,,
spécificité,spécifique,ité,ique~ic,1,1
stabilité,stable-ité,ité,,,
stupidité,stupide-ité,ité,,,
stérilité,stérile-ité,ité,,,
suavité,suave-ité,ité,,,
subjectivité,subject-if-ité,ité,0,1,0
sublimité,sublime-ité,ité,,,
subtilité,subtil-ité,ité,,,
suggestibilité,suggestible-ité,ité,,,
suggestivité,suggérer-ion-if-ité,ité,0,1,0
superficialité,superficiel,ité,el~al,1,-1
superfluité,superflu-ité,ité,,,
supériorité,supérieur-ité,ité,,,
suractivité,sur-act-ion-if-ité,pfx,,,
surcapacité,sur-capac-ité,pfx,,,
surdité,surd-ité,ité,,,
surhumanité,sur-humain-ité,ité,,,
surintensité,sur-intense-ité,pfx,,,
susceptibilité,susceptible-ité,ité,,,
sécurité,sécur-ité,ité,,,
sédentarité,sédentaire,ité,aire~ar,1,1
sélectivité,sélection-if-ité,ité,0,1,0
sénilité,sénile-ité,ité,,,
séropositivité,séro-positif-ité,ité,,,
sérosité,séreux-ité,ité,,,
sérénité,sérén-ité,ité,,,
sévérité,sévère-ité,ité,,,
taciturnité,taciturne-ité,ité,,,
tangibilité,tangible-ité,ité,,,
technicité,technique,ité,ique~ic,1,1
territorialité,territorial-ité,ité,,,
théâtralité,théâtre-al-ité,ité,,,
timidité,timide-ité,ité,,,
tonalité,ton-al-ité,ité,,,
tonicité,tonique,ité,ique~ic,1,1
totalité,total-ité,ité,,,
toxicité,toxique,ité,ique~ic,1,1
tranquillité,tranquille-ité,ité,,,
translucidité,translucide-ité,ité,,,
trivialité,tri-vie-al-ité,ité,,,
tubérosité,tubér-eux-ité,ité,,,
ténacité,tenace-ité,ité,,,
ténuité,ténu-ité,ité,,,
unanimité,unanime-ité,ité,,,
uniformité,uni-form-ité,ité,,,
unilatéralité,uni-latér-al-ité,ité,,,
unité,un-ité,ité,,,
universalité,universel,ité,el~al,1,-1
urbanité,urbain-ité,ité,,,
utilité,utile-ité,ité,,,
vacuité,vacu-ité,ité,,,
validité,valide-ité,ité,,,
vanité,vain-ité,ité,,,
variabilité,variable,ité,able~abil,1,1
vassalité,vassal-ité,ité,,,
vastité,vaste-ité,ité,,,
velléité,vellé-ité,ité,,,
verbosité,verbe-eux-ité,ité,,,
versatilité,versatile-ité,ité,,,
verticalité,vertical-ité,ité,,,
viabilité,viable,ité,able~abil,1,1
vicinalité,vicinal-ité,ité,,,
viduité,vidu-ité,ité,,,
virginité,virgin-ité,ité,,,
virilité,viril-ité,ité,,,
virtualité,virtuel,ité,el~al,1,-1
virtuosité,virtuos-ité,ité,,,
viscosité,visqueux-ité,ité,,,
visibilité,visible-ité,ité,,,
vitalité,vie-al-ité,ité,,,
vivacité,vivace-ité,ité,,,
volatilité,volatil-ité,ité,,,
volubilité,volubile-ité,ité,,,
voracité,vorace-ité,ité,,,
vulgarité,vulgaire,ité,aire~ar,1,1
vulnérabilité,vulnérable,ité,able~abil,1,1
vélocité,véloce-ité,ité,,,
vénalité,vénal-ité,ité,,,
véracité,vérace-ité,ité,,,
vérité,vér-ité,ité,,,
égalité,égal-ité,ité,,,
élasticité,élastique,ité,ique~ic,1,1
électricité,électrique,ité,ique~ic,1,1
éligibilité,éligible-ité,ité,,,
élémentarité,élémentaire,ité,aire~ar,1,1
émotivité,émotion-if-ité,ité,0,1,0
énormité,énorme-ité,ité,,,
équanimité,équanime-ité,ité,,,
équité,équ-ité,ité,,,
étanchéité,étanche-ité,ité,,,
éternité,étern-ité,ité,,,
étrangéité,étrangé-ité,ité,,,
éventualité,éventuel,ité,el~al,1,-1
surnatalité,,pfx,,,
surmortalité,,pfx,,,
surintensité,,pfx,,,
bioaccessibilité,,pfx,,,
biodiversité,,pfx,,,
bioélectricité,,pfx,,,
prématurité,,pfx,,,
