rid,graph_1,lid_2,graph_2,cat_1,cat_2,type_cstr_1,cstr_1,type_cstr_2,cstr_2,complexite,orientation
r29999,supporterariat,l342777,supporter,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r30000,supporterat,l342777,supporter,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30001,supporteriat,l342777,supporter,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r30002,supporteuriat,l342777,supporter,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r30003,supportorat,l342777,supporter,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30004,supportoriat,l342777,supporter,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r30005,supportérat,l342777,supporter,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30028,supériorat,l342900,supérieur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30164,surnumérariat,l343553,surnuméraire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30209,surveillanat,l343821,surveillant,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30279,sycophantat,l344254,sycophante,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30334,syndicat,l344609,syndiquer,Nm,V,conv,X,NA,X,simple,des2as
r30335,syndicat,l344587,syndic,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30348,synonymat,l344671,synonyme,Nm,Adj,suf,Xat,NA,X,simple,des2as
r30349,synonymat,l344672,synonyme,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30398,sécuritariat,l345060,sécurité,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r30400,sédentariat,l345069,sédentaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r30401,sédentariat,l345071,sédentaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30420,séidat,l345215,séide,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30453,sénat,l98805,ancien,Nm,Nm,suf,Xat,NA,X,accidentel,des2as
r30458,sénatorat,l345453,sénateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30459,sénatoriat,l345453,sénateur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r30461,séniorat,l113242,aîné,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30462,séniorat,l332012,seigneur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30463,séniorat,l345493,sénior,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30464,sénioriat,l332012,seigneur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r30465,sénioriat,l345493,sénior,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r30466,sénéchalat,l345522,sénéchal,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30489,séraphinat,l345680,séraphin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30503,sévirat,l345943,sévir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30504,sœurorat,l345995,sœur,Nm,Nf,suf,Xorat,NA,X,simple,des2as
r30514,tabellionat,l346075,tabellion,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30571,talapoinat,l346586,talapoin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30572,talapouinat,l346588,talapouin,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30576,talibanat,l346647,taliban,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30685,tapirat,l347238,tapir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r30801,tavernat,l348053,taverne,Nm,Nf,suf,Xat,NA,X,simple,des2as
r30855,temporariat,l383271,temporaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31028,thuriférariat,l350586,thuriféraire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31197,titulariat,l351960,titulaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31279,tontonnat,l81199,Tonton,Nm,Npm,suf,Xat,NA,X,simple,des2as
r31339,tortionnariat,l352889,tortionnaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31348,toréadoriat,l352956,toréador,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31354,totalitariat,l353007,totalitaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r31518,traductorat,l354063,traducteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31519,traductoriat,l354063,traducteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r31618,transitariat,l354556,transitaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31670,transsudat,l354749,transsuder,Nm,V,conv,X,NA,X,simple,des2as
r31695,travaillariat,l354927,travailleur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r31770,trentenariat,l355295,trentenaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31801,tribunat,l355559,tribun,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31804,tributariat,l355573,tributaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31890,trimestrat,l356002,trimestre,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31953,triumvirat,l356446,triumvir,Nm,Nm,suf,Xat,NA,X,simple,des2as
r31954,triumviriat,l356446,triumvir,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r31965,trollariat,l356664,troll,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r32016,troubadourat,l356916,troubadour,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32117,trésoriérat,l357706,trésorier,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32124,tsarat,l357829,tsar,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32125,tsarinat,l357829,tsar,Nm,Nm,suf,Xinat,NA,X,motiv-sem,des2as
r32192,tuterat,l358541,tuteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32198,tuteurat,l358541,tuteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32199,tuteuriat,l358541,tuteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r32203,tutorat,l358541,tuteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32204,tutoriat,l358541,tuteur,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r32246,tyrannat,l358785,tyran,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32251,tâcheronnat,l358843,tâcheron,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32335,téléspectatorat,l359253,téléspectateur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32367,tétrarcat,l359700,tétrarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32368,tétrarchat,l359700,tétrarque,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32424,universitariat,l360594,universitaire,Nm,Adj,suf,Xat,NA,X,simple,des2as
r32425,universitariat,l360599,université,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r32509,vacatariat,l361435,vacataire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32577,valétariat,l362087,valet,Nm,Nm,suf,Xariat,NA,X,simple,des2as
r32583,vampirat,l362634,vampire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32585,vampiriat,l362634,vampire,Nm,Nm,suf,Xiat,NA,X,simple,des2as
r32652,vassalat,l363288,vassal,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32666,vedetariat,l363777,vedette,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r32667,vedettariat,l363777,vedette,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r32669,vedettat,l363777,vedette,Nm,Nf,suf,Xat,NA,X,simple,des2as
r32671,vedettorat,l363777,vedette,Nm,Nf,suf,Xorat,NA,X,simple,des2as
r32705,vendettariat,l364077,vendetta,Nm,Nf,suf,Xariat,NA,X,simple,des2as
r32839,vestalat,l365414,vestale,Nm,Nf,suf,Xat,NA,X,simple,des2as
r32845,veuvat,l365453,veuf,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32850,vexillariat,l365501,vexillaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32875,vicairat,l365748,vicaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32877,vicairiat,l365748,vicaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32878,vicarat,l365748,vicaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32879,vicariat,l365748,vicaire,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32881,vice-amiralat,l365772,vice-amiral,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32882,vice-championnat,l365779,vice-champion,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32883,vice-consulat,l365783,vice-consul,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32884,vice-doyennat,l383307,vice-doyen,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32885,vice-décanat,l383307,vice-doyen,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32886,vice-légat,l243797,légat,Nm,Nm,pre,viceX,NA,X,simple,des2as
r32888,vice-rectorat,l365800,vice-recteur,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32889,vicecomitat,l365898,vicomte,Nm,Nm,suf,Xat,NA,X,simple,des2as
r32890,vicedominat,l365979,vidame,Nm,Nm,suf,Xat,NA,X,simple,des2as
