lid,graphie,cat,Annotations ontologiques
l8574,Bennecourtoise,Nf,Person
l8586,Benoisvillais,Nm,Person
l8587,Benoisvillaise,Nf,Person
l8596,Benoîtville,Npx,Institution
l8600,Benque-Dessous-et-Dessus,Npx,Institution
l8638,Berchères-les-Pierres,Npx,Institution
l8689,Bergicourtois,Nm,Person
l8690,Bergicourtoise,Nf,Person
l8696,Bergnicourtois,Nm,Person
l8697,Bergnicourtoise,Nf,Person
l8735,Berlencourtois,Nm,Person
l8736,Berlencourtoise,Nf,Person
l8737,Berles-Monchel,Npx,Institution
l8738,Berles-au-Bois,Npx,Institution
l8739,Berlevillois,Nm,Person
l8740,Berlevilloise,Nf,Person
l8747,Berlinois,Nm,Person
l8770,Bermicourtois,Nm,Person
l8771,Bermicourtoise,Nf,Person
l8776,Bermonvillais,Nm,Person
l8777,Bermonvillaise,Nf,Person
l8778,Bermonville,Npx,Institution
l8787,Berméricourtois,Nm,Person
l8788,Berméricourtoise,Nf,Person
l8794,Bernadette,Npf,Person
l8808,Bernardvillois,Nm,Person
l8809,Bernardvilloise,Nf,Person
l8811,Bernaville,Npx,Institution
l8812,Bernavillois,Nm,Person
l8813,Bernavilloise,Nf,Person
l8845,Berneville,Npx,Institution
l8846,Bernevillois,Nm,Person
l8847,Bernevilloise,Nf,Person
l8854,Bernienville,Npx,Institution
l8855,Bernienvillois,Nm,Person
l8856,Bernienvilloise,Nf,Person
l8858,Berniervillois,Nm,Person
l8901,Bernouville,Npx,Institution
l8902,Bernouvillois,Nm,Person
l8903,Bernouvilloise,Nf,Person
l8915,Bernécourtois,Nm,Person
l8916,Bernécourtoise,Nf,Person
l8992,Berteaucourt-les-Dames,Npx,Institution
l8994,Berteaucourtois,Nm,Person
l8995,Berteaucourtoise,Nf,Person
l8998,Berthe,Npf,Person
l8999,Bertheauvillais,Nm,Person
l9000,Bertheauvillaise,Nf,Person
l9001,Bertheauville,Npx,Institution
l9003,Berthecourtois,Nm,Person
l9004,Berthecourtoise,Nf,Person
l9022,Berthenicourtois,Nm,Person
l9023,Berthenicourtoise,Nf,Person
l9026,Berthenonville,Npx,Institution
l9027,Berthenonvillois,Nm,Person
l9028,Berthenonvilloise,Nf,Person
l9029,Berthevillois,Nm,Person
l9035,Berthierville,Npx,Institution
l9036,Berthiervillois,Nm,Person
l9045,Berthouvillais,Nm,Person
l9046,Berthouvillaise,Nf,Person
l9047,Berthouville,Npx,Institution
l9052,Bertincourtois,Nm,Person
l9053,Bertincourtoise,Nf,Person
l9060,Bertoncourtois,Nm,Person
l9061,Bertoncourtoise,Nf,Person
l9063,Bertrancourtois,Nm,Person
l9064,Bertrancourtoise,Nf,Person
l9072,Bertrevillais,Nm,Person
l9073,Bertrevillaise,Nf,Person
l9074,Bertreville,Npx,Institution
l9098,Bervillais,Nm,Person
l9099,Bervillaise,Nf,Person
l9100,Berville,Npx,Institution
l9106,Bervillois,Nm,Person
l9107,Bervilloise,Nf,Person
l9114,Berzé-la-Ville,Npx,Institution
l9121,Berzélavillien,Nm,Person
l9122,Berzélavillienne,Nf,Person
l9141,Besnevillais,Nm,Person
l9142,Besnevillaise,Nf,Person
l9143,Besneville,Npx,Institution
l9155,Bessancourtois,Nm,Person
l9156,Bessancourtoise,Nf,Person
l9208,Bessoncourtois,Nm,Person
l9209,Bessoncourtoise,Nf,Person
l9234,Betaucourt,Npx,Institution
l9235,Betaucourtois,Nm,Person
l9236,Betaucourtoise,Nf,Person
l9252,Bethenivillois,Nm,Person
l9253,Bethenivilloise,Nf,Person
l9267,Betoncourtois,Nm,Person
l9268,Betoncourtoise,Nf,Person
l9278,Bettainvillers,Npx,Institution
l9279,Bettainvillois,Nm,Person
l9280,Bettainvilloise,Nf,Person
l9283,Bettancourtois,Nm,Person
l9284,Bettancourtoise,Nf,Person
l9290,Bettencourtois,Nm,Person
l9291,Bettencourtoise,Nf,Person
l9295,Bettevillais,Nm,Person
l9296,Bettevillaise,Nf,Person
l9297,Betteville,Npx,Institution
l9310,Bettoncourtien,Nm,Person
l9311,Bettoncourtienne,Nf,Person
l9323,Betz-le-Château,Npx,Institution
l9373,Beurville,Npx,Institution
l9374,Beurvillois,Nm,Person
l9375,Beurvilloise,Nf,Person
l9390,Beuvillerois,Nm,Person
l9391,Beuvilleroise,Nf,Person
l9392,Beuvillers,Npx,Institution
l9425,Beuzevillais,Nm,Person
l9426,Beuzevillaise,Nf,Person
l9427,Beuzeville,Npx,Institution
l9517,Bians-les-Usiers,Npx,Institution
l9549,Bichancourtois,Nm,Person
l9550,Bichancourtoise,Nf,Person
l9585,Biefvillois,Nm,Person
l9586,Biefvilloise,Nf,Person
l9594,Biencourtois,Nm,Person
l9595,Biencourtoise,Nf,Person
l9601,Bienville,Npx,Institution
l9603,Bienvillois,Nm,Person
