lid,graphie,cat,Annotations ontologiques
l317547,rougeaude,Nf,Person
l317562,rougeoiement,Nm,Attribute;Event
l317563,rougeole,Nf,Event+State;Plant
l317578,rouget,Nm,Animal;Plant;State;Substance
l317585,rougeur,Nf,Attribute;State
l317632,rouille,Nf,Attribute;Food;State;Substance
l317657,roulade,Nf,Act;Food
l317677,roulement,Nm,Act;Event;Artifact
l317683,rouleur,Nm,Animal;Artifact;Person
l317686,roulier,Nm,Artifact;Person
l317689,roulis,Nm,Event
l317737,roumanophone,Nf,Person
l317738,roumanophone,Nm,Person
l317792,roupillon,Nm,Act
l317801,rouquin,Nm,Food;Person
l317903,rousseur,Nf,Attribute
l317917,roussin,Nm,Animal
l317980,route,Nf,Artifact
l317992,routier,Nm,Artifact;Person
l317994,routine,Nf,Act;State
l318000,routinier,Nm,Person
l318029,rouvillais,Nm,Person
l318030,rouvillaise,Nf,Person
l318032,rouvillois,Nm,Person
l318033,rouvilloise,Nf,Person
l318073,rouxevillais,Nm,Person
l318074,rouxevillaise,Nf,Person
l318076,rouxinvillois,Nm,Person
l318077,rouxinvilloise,Nf,Person
l318110,rouécourtois,Nm,Person
l318111,rouécourtoise,Nf,Person
l318137,rovillois,Nm,Person
l318138,rovilloise,Nf,Person
l318178,royaliste,Nf,Person
l318199,royaucourtois,Nm,Person
l318200,royaucourtoise,Nf,Person
l318201,royaume,Nm,Institution
l318224,royvillais,Nm,Person
l318225,royvillaise,Nf,Person
l318264,roëllecourtois,Nm,Person
l318265,roëllecourtoise,Nf,Person
l318283,ruade,Nf,Act
l318304,ruban,Nm,Artifact
l318315,rubanier,Nm,Person;Plant
l318335,rubercourtois,Nm,Person
l318336,rubercourtoise,Nf,Person
l318339,rubescourtois,Nm,Person
l318340,rubescourtoise,Nf,Person
l318358,rubine,Nf,Substance
l318378,rubrique,Nf,Cognition
l318385,rubécourtois,Nm,Person
l318386,rubécourtoise,Nf,Person
l318397,rubéole,Nf,State
l318422,rucquevillais,Nm,Person
l318423,rucquevillaise,Nf,Person
l318437,rudesse,Nf,Attribute
l318460,rue,Nf,Institution
l318494,ruelle,Nf,Artifact
l318529,ruffian,Nm,Person
l318557,rugby,Nm,Act
l318560,rugbyman,Nm,Person
l318569,rugissement,Nm,Act
l318611,ruisseau,Nm,Object
l318613,ruisseauvillois,Nm,Person
l318614,ruisseauvilloise,Nf,Person
l318646,rumaucourtois,Nm,Person
l318647,rumaucourtoise,Nf,Person
l318662,rumeur,Nf,Cognition;Phenomenon
l318690,rumination,Nf,Act
l318728,rune,Nf,Communication
l318739,runologie,Nf,Cognition
l318741,runologue,Nm,Person
l318766,rupin,Nm,Person
l318774,rupophobie,Nf,State
l318791,rupture,Nf,Act;Event
l318896,russophile,Nf,Person
l318897,russophile,Nm,Person
l318902,russophobie,Nf,State
l318904,russophone,Nf,Person
l318905,russophone,Nm,Person
l318934,rustre,Nf,Person
l318935,rustre,Nm,Person
l318945,rusée,Nf,Person
l318967,ruthénophone,Nf,Person
l318968,ruthénophone,Nm,Person
l318996,ruée,Nf,Act
l319020,rypophobie,Nf,State
l319024,rythmanalyse,Nf,Cognition
l319026,rythme,Nm,Attribute;Phenomenon;Quantity
l319034,rythmique,Nf,Attribute;Cognition
l319041,râble,Nm,Artifact;Body;Food
l319083,râteau,Nm,Act;Artifact
l319097,règle,Nf,Artifact;Cognition
l319099,règlement,Nm,Act;Act+Possession;Artifact+Cognition
l319260,réaction,Nf,Act;Event
l319263,réactionnaire,Nm,Person
l319422,réalisation,Nf,Act;Artifact;Cognition
l319426,réalisme,Nm,Attribute;Cognition
l319428,réaliste,Nf,Person
l319435,réalité,Nf,Attribute;Cognition;Object;Tops
l319477,réalvillois,Nm,Person
l319478,réalvilloise,Nf,Person
l319558,réanvillois,Nm,Person
l319559,réanvilloise,Nf,Person
l319694,réassort,Nm,Act;GroupxArtifact
l319767,réauvillois,Nm,Person
l319768,réauvilloise,Nf,Person
l319796,rébellion,Nf,Act;GroupxPerson
l319798,rébellionnaire,Nm,Person
l319838,réception,Nf,Act;Artifact
l319861,réchaud,Nm,Artifact
l319877,réchicourtois,Nm,Person
l319878,réchicourtoise,Nf,Person
l319894,récif,Nm,Object
l319927,réclainvillois,Nm,Person
l319928,réclainvilloise,Nf,Person
l319954,réclonvillois,Nm,Person
l319955,réclonvilloise,Nf,Person
l319979,récompense,Nf,Act;Artifact
l319995,réconfort,Nm,Act;Feeling
l320006,récourtois,Nm,Person
l320007,récourtoise,Nf,Person
l320009,récri,Nm,Act
l320071,rédacteur,Nm,Person
l320118,réduction,Nf,Act;Act+Possession;Artifact;Event;Food;Substance
l320163,réembauche,Nf,Act
l320234,réemploi,Nm,Act
l320492,réescompte,Nm,Act
l320528,réexamen,Nm,Act
l320595,réfection,Nf,Act
l320598,réfectorier,Nm,Person
l320613,réflexion,Nf,Act+Cognition;Event
l320619,réflexologie,Nf,Cognition
l320623,réflexologue,Nf,Person
l320643,réforme,Nf,Act+Cognition;State
l320656,réfractaire,Nm,Person
l320674,réfrigérateur,Nm,Artifact
l320688,réfugié,Nm,Person
l320701,référence,Nf,Act;Entity
l320709,référendaire,Nm,Person
l320746,régatier,Nm,Person
l320756,régent,Nm,Person
l320775,régie,Nf,Artifact;GroupxPerson
l320777,régime,Nm,Act;Attribute;Cognition;Food;Institution;State
l320778,régiment,Nm,GroupxPerson;Quantity
l320792,région,Nf,Body;Institution;Object
l320794,régionalisation,Nf,Act
l320812,régisseur,Nm,Person
l320813,régisseuse,Nf,Person
l320825,réglementation,Nf,Act;Cognition
l320887,régulier,Nm,Person
l320907,réhabilitation,Nf,Act
l321283,rémission,Nf,Event+State
l321309,rémunération,Nf,Possession
l321325,rémécourtois,Nm,Person
l321326,rémécourtoise,Nf,Person
l321334,rémérévillois,Nm,Person
l321335,rémérévilloise,Nf,Person
l321349,rénovation,Nf,Act
l321478,réparation,Nf,Act;Possession
l321489,répartie,Nf,Act+Cognition
l321496,répartition,Nf,Act;State
l321502,répercussion,Nf,Cognition;Event
l321535,réponse,Nf,Act+Cognition
l321540,répression,Nf,Act
l321565,républicain,Nm,Person
l321567,républicanisation,Nf,Act
l321576,républicophile,Nf,Person
l321577,républicophile,Nm,Person
l321578,république,Nf,Cognition;Institution
l321608,répétiteur,Nm,Artifact;Person
l321611,répétition,Nf,Act;Act+Cognition;Artifact
l321620,réquisition,Nf,Act;Act+Cognition
l321623,réquisitionnaire,Nm,Person
l321627,réquisitoire,Nm,Act+Cognition
l321632,réseau,Nm,GroupxArtifact;GroupxObject;GroupxPerson;Institution;Phenomenon
l321646,réservataire,Nm,Person
l321648,réserve,Nf,Act;Artifact;Attribute;Cognition;Feeling;GroupxPerson;Quantity;Substance
l321660,résident,Nm,Person
l321661,résidente,Nf,Person
l321685,résignée,Nf,Person
l321702,résine,Nf,Substance
l321711,résinier,Nm,Person
l321736,résistant,Nm,Person
l321760,résolution,Nf,Act;Act+Cognition;Attribute
l321783,résorption,Nf,Event
l321788,résultat,Nm,Cognition
l321794,résumé,Nm,Act+Cognition;Artifact+Cognition
l321817,rétablissement,Nm,Act;Event
l321822,rétama,Nm,Plant
l321824,rétamaie,Nf,GroupxPlant
l321851,réthovillais,Nm,Person
l321852,réthovillaise,Nf,Person
l321863,réticuline,Nf,Substance
l321884,rétinographie,Nf,Act;Artifact
l321969,rétrocessionnaire,Nm,Person
l321970,rétrocommission,Nf,Act+Possession
l322042,rétrovirus,Nm,Object
l322062,réunion,Nf,Act;GroupxPerson
l322090,réussite,Nf,Act;Event
l322099,réveil,Nm,Act;Artifact;Event;Time
l322107,réveillon,Nm,Act
l322129,réversibilité,Nf,Attribute
l322135,révillais,Nm,Person
l322136,révillaise,Nf,Person
l322138,révillois,Nm,Person
l322139,révilloise,Nf,Person
l322150,révision,Nf,Act
l322173,révoltocrate,Nf,Person
l322174,révoltocrate,Nm,Person
l322180,révolution,Nf,Act;Event;Quantity
l322187,révolutionnaire,Nm,Person
l322216,révélation,Nf,Act;Act+Cognition
l322294,réédition,Nf,Act;Artifact+Cognition
l322395,rééquilibre,Nm,Act
l322441,réévaluation,Nf,Act
l322465,rêne,Nf,Artifact
l322478,rêve,Nm,Act;Cognition
l322498,rôle,Nm,Cognition;Person;State
l322509,rôneraie,Nf,GroupxPlant
l322510,rônier,Nm,Plant
l322522,rôtissoire,Nf,Artifact
l322605,sabbat,Nm,Act;Time
l322647,sable,Nm,Substance
l322707,saboteur,Nm,Person
l322709,sabotier,Nm,Person
l322725,sabre,Nm,Animal;Artifact
l322736,sabreur,Nm,Person
l322747,saburre,Nf,Substance
l322756,sac,Nm,Artifact;Act
l322758,sac-poubelle,Nm,Artifact
l322763,saccade,Nf,Act;Event
l322800,saccatier,Nm,Person
l322804,saccharide,Nm,Substance
l322813,saccharimètre,Nm,Artifact
l322814,saccharimétrie,Nf,Cognition
l322817,saccharine,Nf,Substance
l322844,sacerdoce,Nm,Act
l322849,sacerdote,Nm,Person
l322894,sacquenvillais,Nm,Person
l322895,sacquenvillaise,Nf,Person
l322919,sacre,Nm,Act;Animal;Artifact;Person
l322924,sacrement,Nm,Act
l322946,sacrifiée,Nf,Person
l322948,sacrilège,Nm,Act;Person
l322950,sacripant,Nm,Person
l322951,sacristain,Nm,Food;Person
l323010,sadique,Nf,Person
l323011,sadique,Nm,Person
l323016,sadisme,Nm,Attribute
l323059,safari,Nm,Act
l323083,safran,Nm,Attribute;Food;Plant;Substance
l323086,safraneraie,Nf,GroupxPlant
l323100,sagacité,Nf,Attribute
l323112,sage,Nf,Person
l323120,sagesse,Nf,Attribute
l323146,sagouin,Nm,Animal;Person
l323186,saharien,Nm,Person
l323227,saignement,Nm,Event
l323243,saignée,Nf,Act
l323281,saillie,Nf,Act;Artifact
l323329,sainnevillais,Nm,Person
l323330,sainnevillaise,Nf,Person
l323347,saint,Nm,Person
l325923,saint-pierre,Nm,Animal
l325937,saint-pierrevillois,Nm,Person
l325938,saint-pierrevilloise,Nf,Person
l326905,sainteté,Nf,Attribute;Person
l326916,saintier,Nm,Person
l327000,sainvillais,Nm,Person
l327001,sainvillaise,Nf,Person
l327018,saisie,Nf,Act
l327025,saisine,Nf,Act
l327041,saison,Nf,GroupxAct;Time
l327049,saisonnier,Nm,Person
l327091,saké,Nm,Food
l327103,salade,Nf,Act;Food;Plant
l327106,saladeraie,Nf,GroupxPlant
l327112,saladier,Nm,Artifact
l327137,salaire,Nm,Artifact;Possession
l327144,salaisonnier,Nm,Person
l327155,salami,Nm,Food
l327175,salariat,Nm,GroupxPerson
l327181,salarié,Nm,Person
l327182,salariée,Nf,Person
l327200,salaud,Nm,Person
l327354,saligaud,Nm,Person
l327390,saline,Nf,Artifact;Object
l327399,salinier,Nm,Person
l327429,salissure,Nf,Substance
l327435,salivaire,Nm,Person
l327451,saliçaie,Nf,GroupxPlant
l327471,salle,Nf,Artifact;GroupxPerson
l327501,salles-sourçois,Nm,Person
l327502,salles-sourçoise,Nf,Person
l327545,salmigondis,Nm,Act+Cognition;Food
l327568,saloir,Nm,Artifact
l327581,salon,Nm,Artifact;Act
l327614,salonnier,Nm,Person
l327624,salope,Nf,Person
l327661,salpêtre,Nm,Substance
l327666,salpêtrier,Nm,Person
l327696,saltimbanque,Nm,Person
l327711,salubrité,Nf,Attribute
l327725,salutation,Nf,Act;Communication
l327727,salutiste,Nf,Person
l327802,salé,Nm,Food
l327856,samba,Nf,Act;Cognition
l327883,sambrevillois,Nm,Person
l327884,sambrevilloise,Nf,Person
l327902,samedi,Nm,Time
l327972,samovar,Nm,Artifact
l327983,sampang,Nm,Artifact
l328021,samsonier,Nm,Person
l328145,sanchevillois,Nm,Person
l328146,sanchevilloise,Nf,Person
l328164,sancourtois,Nm,Person
l328165,sancourtoise,Nf,Person
l328182,sanction,Nf,Act
l328219,sandalier,Nm,Person
l328230,sandarvillois,Nm,Person
l328231,sandarvilloise,Nf,Person
l328265,sandouvillais,Nm,Person
l328266,sandouvillaise,Nf,Person
l328303,sang,Nm,Attribute;GroupxPerson;Substance
l328324,sangiac,Nm,Object
l328332,sangle,Nf,Artifact
l328342,sanglot,Nm,Event
l328353,sangria,Nf,Food
l328354,sangsue,Nf,Animal;Person
l328366,sanguinaire,Nm,Person
l328369,sanguine,Nf,Artifact;Food;Object
l328449,sannervillais,Nm,Person
l328450,sannervillaise,Nf,Person
l328502,sans-filiste,Nf,Person
l328574,sanskrit,Nm,Communication
l328609,santal,Nm,Communication;Substance;Plant
l328679,santonine,Nf,Plant;Substance
l328695,santé,Nf,Attribute;State
l328761,sapaie,Nf,GroupxPlant
l328769,sapement,Nm,Act;Event
l328778,sapeur-pompier,Nm,Person
l328812,sapignicourtois,Nm,Person
l328813,sapignicourtoise,Nf,Person
l328815,sapin,Nm,Plant;Substance
l328817,sapinaie,Nf,GroupxPlant
l328823,sapineraie,Nf,GroupxPlant
l328831,sapinée,Nf,GroupxPlant
l328890,saprophyte,Nm,Plant
l328903,sapée,Nf,GroupxPlant
l328917,sarabande,Nf,Act
l328967,sarcasme,Nm,Act+Cognition
l328972,sarcelle,Nf,Animal
l329029,sarcome,Nm,Object
l329032,sarcomère,Nm,Substance
l329044,sarcoplasma,Nm,Substance
l329045,sarcoplasme,Nm,Substance
l329047,sarcopte,Nm,Animal
l329093,sardinier,Nm,Artifact;Person
l329134,sari,Nm,Animal;Artifact
l329148,sarkophobie,Nf,State
l329187,sarment,Nm,Plant
l329216,sarothamnaie,Nf,GroupxPlant
l329217,sarothamne,Nm,Plant
l329268,sarrau,Nm,Animal;Artifact;Person
l329350,sarrusophone,Nm,Person
l329351,sarrussophone,Nm,Person
l329407,sartrouvillois,Nm,Person
l329408,sartrouvilloise,Nf,Person
l329423,sas,Nm,Artifact;Substance
l329469,sassevillais,Nm,Person
l329470,sassevillaise,Nf,Person
l329481,satan,Nm,Person
l329488,satanisme,Nm,Cognition
l329505,satellite,Nm,Artifact;Object
l329520,satin,Nm,Substance
l329533,satire,Nf,Act+Cognition
l329565,satrape,Nm,Person
l329566,satrapie,Nf,Cognition
l329574,saturation,Nf,Act;State
l329598,saturnisme,Nm,State
l329605,satyre,Nm,Animal;Person
l329647,saucier,Nm,Artifact;Person
l329648,sauciflard,Nm,Food
l329655,saucisson,Nm,Food
l329681,saudraie,Nf,GroupxPlant
l329689,sauge,Nf,Food;Plant
l329696,saugeraie,Nf,GroupxPlant
l329728,saulaie,Nf,GroupxPlant
l329747,saule,Nm,Plant;Substance
l329748,sauleraie,Nf,GroupxPlant
l329767,saulnier,Nm,Person
l329814,saulée,Nf,GroupxPlant
l329860,sauna,Nf,Artifact
l329867,saunier,Nm,Person
l329891,sauquevillais,Nm,Person
l329892,sauquevillaise,Nf,Person
l329947,saussaie,Nf,GroupxPlant
l329989,saut,Nm,Act;Object
l330001,saute,Nf,Event
l330059,sauté,Nm,Food
l330063,sauvage,Nm,Person
l330105,sauvegarde,Nf,Act;Artifact
l330123,sauvetage,Nm,Act
l330176,sauvillois,Nm,Person
l330177,sauvilloise,Nf,Person
l330193,sauzaie,Nf,GroupxPlant
l330228,savane,Nf,Object
l330260,savate,Nf,Act;Artifact
l330285,savetier,Nm,Person
l330360,savoir,Nm,Attribute;Cognition
l330362,savoir-faire,Nm,Attribute;Cognition
l330363,savoir-vivre,Nm,Attribute
l330373,savon,Nm,Act+Cognition;Substance
l330386,savonnier,Nm,Person;Plant
l330410,savoyard,Nm,Communication;Person
l330428,saxhorn,Nm,Artifact
l330455,saxophone,Nm,Artifact
l330457,saxophoniste,Nf,Person
l330528,sbire,Nm,Person
l330559,scalde,Nm,Person
l330594,scandale,Nm,Act;Event
l330630,scanner,Nm,Act;Artifact
l330636,scanographie,Nf,Act;Artifact
l330643,scaphandrier,Nm,Person
l330663,scapulaire,Nm,Artifact
l330669,scarabée,Nm,Animal
l330705,scatologie,Nf,Communication
l330713,scatophile,Nf,Person
l330714,scatophile,Nm,Person
l330723,sceau,Nm,Artifact
l330737,scellé,Nm,Artifact
l330793,scheffervillois,Nm,Person
l330794,scheffervilloise,Nf,Person
l330859,schisme,Nm,Act
l330885,schizogonie,Nf,Act
l330893,schizophrénie,Nf,State
l330904,schizothymie,Nf,State
l330911,schizoïdie,Nf,State
l330958,schmittvillerois,Nm,Person
l330959,schmittvilleroise,Nf,Person
l331084,schtroumpfophile,Nf,Person
l331085,schtroumpfophile,Nm,Person
l331089,schtroumpfophobie,Nf,State
l331099,schupo,Nm,Person
l331147,schéma,Nm,Artifact;Cognition
l331190,sciatique,Nf,Event+State
l331197,science,Nf,Act;Cognition
l331210,scientifique,Nm,Person
l331213,scientisme,Nm,Cognition
l331215,scientiste,Nf,Person
l331218,scientologie,Nf,Cognition
l331221,scientologue,Nf,Person
l331254,scintigraphie,Nf,Act;Artifact
l331260,scintillement,Nm,Event
l331263,sciographie,Nf,Act;Artifact
l331269,scion,Nm,Artifact;Plant
l331271,sciophobie,Nf,State
l331281,scirpaie,Nf,GroupxPlant
l331282,scirpe,Nm,Plant
l331291,scissionnaire,Nm,Person
l331301,scissure,Nf,Body
l331342,sclérodermie,Nf,State
l331352,sclérose,Nf,Event+State
l331389,scolastique,Nm,Person
l331398,scolie,Nf,Act+Cognition
l331401,scoliose,Nf,State+Object
l331438,scope,Nf,Artifact
l331447,scopophobie,Nf,State
l331454,scorbut,Nm,State
l331466,score,Nm,Quantity
l331485,scorpion,Nf,Animal;Person;Artifact;Person
l331521,scotophobie,Nf,State
l331536,scoubidou,Nm,Artifact
l331584,scribe,Nm,Person
l331603,script,Nf,Artifact+Cognition;Communication
l331610,scripteur,Nf,Person
l331618,scriptor,Nm,Person
l331647,scrotum,Nm,Body
l331661,scrutin,Nm,Act
l331682,sculpture,Nf,Act;Artifact;Cognition
l331726,scène,Nf,Act+Cognition;Artifact;Cognition;PartxCognition
l331756,scénario,Nm,Artifact+Cognition
l331758,scénariste,Nf,Person
l331765,scénographe,Nf,Person
l331767,scénographie,Nf,Cognition
l331799,seboncourtois,Nm,Person
l331800,seboncourtoise,Nf,Person
l331830,seconde,Nf,Time;Tops
l331860,secouriste,Nf,Person
l331862,secours,Nm,Act
l331863,secousse,Nf,Act;Event+Phenomenon;Event;Event+Phenomenon
l331867,secquevillais,Nm,Person
l331868,secquevillaise,Nf,Person
l331871,secret,Nm,Cognition
l331873,secrète,Nf,Act+Cognition;Artifact
l331879,secrétaire,Nm,Animal;Artifact;Person
l331884,secrétariat,Nm,Act;Institution
l331893,sectaire,Nm,Person
l331903,secteur,Nm,Part;Phenomenon
l331906,section,Nf,Act;Part;PartxArtifact;PartxInstitution
l331911,sectionnaire,Nm,Person
l331952,sefirot,Nm,Entity
l331961,segment,Nm,Part
l332001,seigle,Nm,Food;Plant
l332012,seigneur,Nm,Person
l332122,self-control,Nm,Attribute
l332127,self-service,Nm,Institution
l332144,selles-sur-cher,Nm,Food
l332146,sellier,Nm,Person
l332160,seloncourtois,Nm,Person
l332161,seloncourtoise,Nf,Person
l332192,semaine,Nf,Time
l332195,semainier,Nm,Artifact;Person
l332198,semalier,Nm,Artifact;Person
l332210,semblable,Nf,Person
l332223,semelle,Nf,Artifact;Food
l332225,semence,Nf,Act;Artifact;Plant;Substance
l332245,semeur,Nm,Person
l332290,semi-désert,Nm,Object
l332350,semi-remorque,Nf,Artifact
l332351,semi-remorque,Nm,Artifact
l332411,semoir,Nm,Artifact
l332426,semoulier,Nm,Person
l332479,semécourtois,Nm,Person
l332480,semécourtoise,Nf,Person
l332481,sen,Nm,Artifact;Possession
l332561,senior,Nf,Person
l332562,senior,Nm,Person
l332599,sennevillais,Nm,Person
l332600,sennevillaise,Nf,Person
l332623,senoncourtois,Nm,Person
l332624,senoncourtoise,Nf,Person
l332636,sens,Nm,Attribute;Cognition
l332640,sensation,Nf,Feeling
l332671,sensibilité,Nf,Attribute;Feeling
l332681,sensitométrie,Nf,Cognition
l332692,sensorium,Nm,Body
l332699,sensualité,Nf,Attribute
l332711,sentence,Nf,Act+Cognition
l332730,sentier,Nm,Artifact
l332734,sentiment,Nm,Feeling
l332747,sentinelle,Nf,Animal;Person
l332854,septembre,Nm,Time
l332883,septentrion,Nm,PartxObject
l332897,septicémie,Nf,State
l332917,septime,Nf,Act
l332948,septuagénaire,Nm,Person
l332954,septum,Nm,Body
l332994,seraincourtois,Nm,Person
l332995,seraincourtoise,Nf,Person
l333006,seraucourtois,Nm,Person
l333007,seraucourtoise,Nf,Person
l333034,serbo-croate,Nm,Communication;Person
l333040,serbophone,Nf,Person
l333041,serbophone,Nm,Person
l333073,sergent,Nm,Animal;Artifact;Person
l333076,sergent-major,Nm,Person
l333084,serger,Nm,Person
l333093,sergier,Nm,Person
l333173,sermon,Nm,Act+Cognition
l333209,serpent,Nf,Animal;Substance
l333210,serpent,Nm,Animal;Artifact;Person;Substance
l333221,serpenteau,Nm,Animal
l333231,serpentine,Nf,Plant;Substance
l333251,serpillière,Nf,Animal;Artifact;Person
l333294,serre,Nf,Act;Artifact;Body;Object
l333324,serre-tête,Nm,Artifact
l333328,serrement,Nm,Act
l333377,serrouvillois,Nm,Person
l333378,serrouvilloise,Nf,Person
l333385,serrurier,Nm,Person
l333406,servage,Nm,State
l333420,servant,Nm,Person;Plant
l333434,servavillais,Nm,Person
l333435,servavillaise,Nf,Person
l333441,serveur,Nm,Artifact;Person
l333452,service,Nm,Act;GroupxPerson;Cognition;GroupxArtifact
l333467,serviette,Nf,Artifact
l333480,servillois,Nm,Person
l333481,servilloise,Nf,Person
l333494,serviteur,Nm,Person
l333496,servitude,Nf,Artifact;Attribute;State
l333564,sesquiterpène,Nm,Substance
l333597,setter,Nm,Animal
l333605,seuil,Nm,Artifact;Quantity
l333667,sex-appeal,Nm,Attribute
l333681,sexagénaire,Nm,Person
l333685,sexagésime,Nf,Time
l333700,sexe,Nm,Act;Body;Person
l333729,sexologie,Nf,Cognition
l333732,sexologue,Nf,Person
l333739,sexothérapeute,Nf,Person
l333740,sexothérapeute,Nm,Person
l333750,sextant,Nm,Artifact
l333878,shabbat,Nm,Time
l333889,shaker,Nf,Person
l333902,shaman,Nm,Person
l333903,shamane,Nf,Person
l333905,shamanisme,Nm,Cognition
l334029,shetland,Nm,Animal;Artifact;Substance
l334067,shimmy,Nm,Act
l334097,shit,Nm,Substance
l334117,shogoun,Nm,Person
l334120,shogun,Nm,Person
l334137,shopping,Nm,Act
l334186,shérif,Nm,Person
l334199,sial,Nm,Object
l334212,sialographie,Nf,Act
l334254,sibivillois,Nm,Person
l334255,sibivilloise,Nf,Person
l334276,sicaire,Nm,Person
l334329,sida,Nm,Plant;State
l334349,sidevillais,Nm,Person
l334350,sidevillaise,Nf,Person
l334372,sidérite,Nf,Substance
l334379,sidérodromophobie,Nf,State
l334381,sidérolithe,Nm,Substance
l334387,sidérophobie,Nf,State
l334391,sidéropénie,Nf,State
l334399,sidérurgie,Nf,Act
l334402,sidérurgiste,Nf,Person
l334447,siervillais,Nm,Person
l334448,siervillaise,Nf,Person
l334477,sifflement,Nm,Act;Phenomenon
l334480,sifflet,Nm,Artifact;Body;Phenomenon
l334487,sifflotement,Nm,Act;Phenomenon
l334519,sigillographie,Nf,Cognition
l334537,sigma,Nm,Communication;Quantity
l334557,signal,Nm,Act;Phenomenon;Event;Phenomenon
l334558,signalement,Nm,Act
l334564,signalisation,Nf,Act;GroupxArtifact
l334570,signataire,Nf,Person
l334571,signataire,Nm,Person
l334573,signature,Nf,Act;Artifact
l334574,signe,Nm,Act;Cognition;Communication;Event+Phenomenon
l334592,signification,Nf,Cognition;Communication
l334608,signévillois,Nm,Person
l334609,signévilloise,Nf,Person
l334651,sikh,Nm,Person
l334652,sikhe,Nf,Person
l334665,silence,Nm,State;Attribute;Act
l334668,silenciaire,Nm,Person
l334670,silencieux,Nm,Artifact
l334677,silex,Nm,Object
l334694,silicate,Nm,Substance
l334699,silice,Nf,Substance
l334719,silicone,Nf,Substance
l334720,silicone,Nm,Substance
l334723,silicose,Nf,State
l334738,sillage,Nm,Object;Artifact
l334771,sillon,Nm,Artifact;Object
l334789,silo,Nm,Artifact
l334828,silène,Nm,Animal;Plant;Person;Plant
l334836,sima,Nm,Object
l334862,simencourtois,Nm,Person
l334863,simencourtoise,Nf,Person
l334900,similitude,Nf,Relation;State
l334918,simonet,Nm,Person
l334943,simple,Nm,Act;Person;Plant;Substance
l334963,simplification,Nf,Act
l334966,simplisme,Nm,Act+Cognition
l334969,simpliste,Nf,Person
l334978,simulateur,Nm,Artifact;Person
l335011,sinapisme,Nm,Substance
l335029,sincérité,Nf,Attribute
l335057,singerie,Nf,Act;Artifact
l335087,singularité,Nf,Attribute
l335110,sinistre,Nm,Event
l335116,sinistrophobie,Nf,State
l335122,sinistré,Nm,Person
l335127,sinité,Nf,Attribute
l335162,sinologie,Nf,Cognition
l335164,sinologue,Nf,Person
l335168,sinophile,Nf,Person
l335169,sinophile,Nm,Person
l335174,sinophobie,Nf,State
l335204,sinus,Nm,Body;Quantity
l335211,sinusoïde,Nf,Artifact
l335231,sioniste,Nf,Person
l335232,sioniste,Nm,Person
l335240,sionvillois,Nm,Person
l335241,sionvilloise,Nf,Person
l335248,siouvillais,Nm,Person
l335249,siouvillaise,Nf,Person
l335252,sioux,Nm,Communication;Person
l335259,siphon,Nm,Artifact;Object;Event;Object
l335292,siracourtois,Nm,Person
l335293,siracourtoise,Nf,Person
l335305,sirdar,Nm,Person
l335328,sirop,Nm,Food;Substance
l335370,sisal,Nm,Plant;Substance
l335371,sisalaie,Nf,GroupxPlant
l335372,sisaleraie,Nf,GroupxPlant
l335386,sismographie,Nf,Cognition
l335390,sismologie,Nf,Cognition
l335392,sismologue,Nf,Person
l335399,sismothérapie,Nf,Act
l335444,site,Nm,Artifact;Cognition
l335446,sitiophobie,Nf,State
l335453,sitophobie,Nf,State
l335459,situation,Nf,Attribute;State
l335536,sizeret,Nm,Person
l335550,siècle,Nm,Time
l335552,siège,Nm,Act+State;Artifact;Body;Cognition
l335576,skaï,Nm,Substance
l335601,skieur,Nm,Person
l335604,skiff,Nm,Artifact
l335625,skipper,Nf,Person
l335680,slave,Nf,Person
l335689,slaviste,Nf,Person
l335701,slavophile,Nf,Person
l335702,slavophile,Nm,Person
l335706,sleeping,Nm,Artifact
l335774,smala,Nf,GroupxPerson
l335787,smartphone,Nm,Artifact
l335793,smash,Nm,Act
l335811,smicard,Nm,Person
l335864,snack,Nm,Food;Institution
l335865,snack-bar,Nm,Institution
l335890,snob,Nm,Person
l335901,snobinarde,Nf,Person
l335955,soc,Nm,Artifact;Food
l335981,social-démocrate,Nm,Person
l335995,socialisme,Nm,Cognition
l335998,socialiste,Nm,Person
l336032,socioanalyse,Nf,Cognition
l336042,sociocratie,Nf,Cognition
l336047,sociodrame,Nm,Act
l336052,sociographie,Nf,Cognition
l336056,sociolecte,Nm,Communication
l336061,sociologie,Nf,Cognition
l336069,sociologue,Nf,Person
l336075,sociométrie,Nf,Act
l336081,sociopathologie,Nf,Cognition;State
l336085,sociopsychanalyse,Nf,Cognition
l336088,sociothérapie,Nf,Act
l336097,sociétaire,Nm,Person
l336105,société,Nf,Group;Institution
l336110,socle,Nm,Artifact
l336118,socquette,Nf,Artifact
l336141,sodium,Nm,Substance
l336151,sodomie,Nf,Act
l336161,sodomite,Nf,Person
l336185,softball,Nm,Act
l336222,soie,Nf,Artifact;Substance
l336224,soif,Nf,State
l336226,soiffard,Nm,Person
l336227,soiffarde,Nf,Person
l336239,soignante,Nf,Person
l336245,soigneur,Nm,Person
l336256,soin,Nm,Act;Attribute
l336262,soir,Nm,Time
l336267,soirée,Nf,Act;Time
l336280,soixantaine,Nf,Quantity;Time
l336319,soixantenaire,Nm,Person
l336337,sol,Nm,Artifact;Cognition;Object
l336389,soldat,Nm,Person
